year,npgo,mei,pink,chum,sockeye,total,shannon_neg_1,shannon,evenness,fert,pink_1_oe,pink_2_oe,precip_1,precip_2,precip_3,precip_4,temp_2,temp_3,temp_4
1999,1.515780517,-0.8545,938.4900592,2284.257434,808.2168799,4030.964374,-0.512774739,0.512774739,0.739777573,1,0,1,2208.6,1911.9,1810.8,1841.9,12.2,12.2,12.2
2000,1.885861292,-0.4775,826.1818127,2288.678705,716.2222596,3831.082778,-0.71555654,0.71555654,0.651327631,1,1,0,1615.1,1611.9,1719.6,1740.3,12.2,12.3,12.3
2001,2.080693375,-0.11125,852.7838196,2609.09279,676.4107646,4138.287375,-0.366417465,0.366417465,0.26431433,1,0,1,1608.6,1771.9,1782.1,1806.2,12.3,12.4,12.4
2002,1.47359396,0.649083333,899.1522529,2566.037549,845.807622,4310.997424,-0.925395651,0.925395651,0.667531859,1,1,0,1935.1,1868.8,1872,1974.9,12.6,12.8,12.8
2003,0.958507189,0.50925,999.9192264,2717.268943,860.5036187,4577.691788,-0.549390064,0.549390064,0.39630116,1,0,1,1802.5,1840.5,1988.2,1965.7,13,12.9,12.9
2004,0.209460249,0.46975,899.7455452,2803.342295,771.7955544,4474.883394,-0.610627171,0.610627171,0.440474396,1,1,0,1878.4,2081,2020.1,2098.5,13.1,12.8,12.8
2005,-1.38061641,0.36275,1240.504638,2637.159437,722.0366383,4599.700713,-1.16181544,1.16181544,0.838072687,0,0,1,2283.6,2091,2171.8,2075.1,12.6,12.6,12.6
2006,-0.553872743,0.341833333,780.2063935,2861.715615,704.546786,4346.468795,-1.153722239,1.153722239,0.716847932,0,1,0,1898.4,2115.9,2005.5,1862.6,12.5,12.3,12.3
2007,0.59326066,-0.297083333,1211.426459,2446.773251,687.4056266,4345.605337,-1.088687464,1.088687464,0.676439554,0,0,1,2333.4,2059.1,1850.7,1860.8,12.2,12.3,12.3
2008,1.454986408,-0.64,768.4915875,2238.438412,591.5215808,3598.45158,-0.533597331,0.533597331,0.485701222,0,1,0,1784.8,1609.3,1703.2,1824.8,12.2,12.3,12.3
2009,0.736277515,0.39625,1351.164949,2724.023299,614.3914178,4689.579666,-0.745432415,0.745432415,0.463163201,0,0,1,1433.8,1662.4,1838.1,1947.7,12.6,12.5,12.5
2010,1.370142293,-0.34275,960.9712199,2551.198329,832.8043015,4344.97385,-0.667851309,0.667851309,0.607904459,0,1,0,1891,2040.2,2119,1998.4,12.4,12.3,12.3
2011,0.857256779,-0.892583333,1288.332226,2300.582713,669.3975627,4258.312502,NA,NA,NA,0,0,1,2189.4,2233.1,2034.2,1914.1,12.1,12.3,12.3
2012,1.476880791,0.170166667,932.7828633,2445.494863,625.9456164,4004.223343,NA,NA,NA,0,NA,NA,2276.7,1956.6,1822.4,NA,12.3,12.7,NA
2013,0.343828793,-0.075083333,1181.955161,2667.210333,601.119332,4450.284825,NA,NA,NA,0,NA,NA,NA,1595.2,NA,NA,13.1,NA,NA
2014,-0.249174042,0.5,782.3027569,2770.313385,820.7884614,4373.404604,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,-1.394540915,1.6255,1176.277858,2908.490109,812.6614839,4897.429451,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,-0.18571019,0.913083333,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,-0.86259431,0.134916667,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,-1.975739383,0.048090909,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
